Database of binary bond valence properties
Type+ os+ Type- os-  R0(A)     b         cn       R_cutoff(A)
-------------------------------------------------------------
DATA_START
  Fe    4    F   -1  1.762200  0.417000  6.000000  5.50 ! RCN estimated
  Fe    4    O   -2  1.765590  0.410000  6.000000  5.50
  Ga    1   Cl   -1  2.320410  0.440000  9.000000  6.00
  Ga    1    I   -1  2.387690  0.541000  8.000000  7.00
  Ga    3   As   -3  2.418120  0.466000  3.333330  6.50
  Ga    3   Br   -1  2.113520  0.619000  4.000000  6.50
  Ga    3   Cl   -1  1.977940  0.578000  4.000000  6.50
  Ga    3    F   -1  1.560390  0.451000  6.000000  5.50
  Ga    3    H   -1  1.407850  0.474000  4.000000  6.00
  Ga    3    I   -1  2.314000  0.679000  4.000000  7.00 ! RCN estimated
  Ga    3    N   -3  1.761990  0.506000  4.000000  6.00
  Ga    3    O   -2  1.716060  0.373000  4.904760  5.00
  Ga    3    P   -3  2.318390  0.433000  3.428570  6.00 ! RCN estimated
  Ga    3    S   -2  2.124580  0.483000  4.000000  6.00
  Ga    3   Sb   -3  2.641760  0.669000  3.000000  7.00
  Ga    3   Se   -2  2.247230  0.513000  4.000000  6.50
  Ga    3   Te   -2  2.444910  0.558000  4.000000  7.00
  Gd    3   Cl   -1  2.271260  0.533000  7.750000  6.00
  Gd    3    F   -1  1.907180  0.406000  8.333330  5.50
  Gd    3    N   -3  2.095190  0.504000  6.330000  6.50 ! RCN estimated
  Gd    3    O   -2  1.996540  0.415000  7.753250  5.50
  Gd    3    S   -2  2.370280  0.552000  7.200000  6.00
  Ge    2   As   -3  2.380840  0.458000  2.000000  6.50
  Ge    2   Br   -1  2.200610  0.531000  6.000000  6.00
  Ge    2   Cl   -1  2.074940  0.490000  5.000000  5.50
  Ge    2    I   -1  2.291290  0.591000  6.000000  7.00
  Ge    2    N   -3  1.861220  0.461000  2.000000  6.00
  Ge    2    P   -3  2.227770  0.580000  2.000000  6.50
  Ge    2   Te   -2  2.269370  0.585000  6.000000  7.00
  Ge    4   As   -3  2.469530  0.465000  3.857140  6.00
  Ge    4   Cl   -1  2.076190  0.610000  5.000000  6.00
  Ge    4    F   -1  1.578640  0.484000  6.000000  5.50
  Ge    4    I   -1  2.433900  0.711000  4.000000  7.50
  Ge    4    N   -3  1.847580  0.469000  4.000000  6.00
  Ge    4    O   -2  1.739390  0.396000  4.287430  5.00
  Ge    4    P   -3  2.313840  0.552000  4.000000  6.50
  Ge    4    S   -2  2.191830  0.514000  4.000000  6.00
  Ge    4   Se   -2  2.332640  0.545000  4.000000  6.00
  Ge    4   Te   -2  2.574610  0.593000  3.666670  7.00
   H    1   Br   -1  1.070540  0.725000  1.800000  6.00
   H    1   Cl   -1  1.010440  0.685000  1.670000  5.50
   H    1    F   -1  0.707790  0.558000  1.800000  4.50
   H    1    I   -1  1.177770  0.786000  1.000000  6.50
   H    1    O   -2  0.870450  0.457000  1.400000  4.00
   H    1    S   -2  1.191640  0.591000  1.000000  5.50
   H    1   Se   -2  1.297500  0.625000  1.000000  6.00 ! RCN estimated
   H    1   Te   -2  1.403900  0.678000  1.000000  6.50 ! RCN estimated
  Hf    4   Cl   -1  2.244390  0.483000  6.000000  6.50
  Hf    4    F   -1  1.775200  0.469000  7.250000  5.50
  Hf    4    I   -1  2.576770  0.584000  6.000000  7.00
  Hf    4    O   -2  1.833610  0.478000  7.105260  6.00
  Hf    4    S   -2  2.235500  0.615000  6.000000  7.00
  Hf    4   Se   -2  2.378930  0.645000  6.000000  7.50
  Hg    1   Cl   -1  2.173410  0.455000  5.000000  5.50
  Hg    1    F   -1  1.765070  0.473000  5.000000  5.50
  Hg    1    O   -2  1.812800  0.465000  4.430000  5.50
  Hg    2   Br   -1  2.254440  0.495000  5.000000  6.00
  Hg    2   Cl   -1  2.170090  0.455000  5.230000  5.50 
  Hg    2    F   -1  1.733800  0.473000  6.285710  5.50
  Hg    2    I   -1  2.381630  0.555000  4.000000  6.00
  Hg    2    O   -2  1.812760  0.465000  6.480000  5.50
  Hg    2    S   -2  2.205010  0.473000  4.390000  5.50
  Hg    2   Se   -2  2.251790  0.504000  4.000000  6.00
  Hg    2   Te   -2  2.379170  0.549000  4.000000  7.00
  Ho    3    F   -1  1.844850  0.424000  8.333330  5.50
  Ho    3    O   -2  1.970990  0.415000  7.370000  5.50
  Ho    3    S   -2  2.337980  0.522000  6.875000  6.00
  Hx    1   Br   -1  1.150000  0.725000  1.800000  6.00 ! RCN estimated
  Hx    1   Cl   -1  0.960000  0.685000  1.670000  5.50 ! RCN estimated
  Hx    1    F   -1  0.666530  0.558000  1.800000  4.50
  Hx    1    I   -1  1.240000  0.786000  1.000000  6.50 ! RCN estimated
  Hx    1    O   -2  0.781500  0.457000  1.400000  4.00 ! RCN estimated
  Hx    1    S   -2  1.097780  0.591000  1.000000  5.50
  Hx    1   Se   -2  1.212800  0.625000  1.000000  6.00 ! RCN estimated
  Hx    1   Te   -2  1.317100  0.678000  1.000000  6.50 ! RCN estimated
   I    5    F   -1  1.855660  0.370000  4.923080  7.00
   I    5    O   -2  1.977750  0.424000  3.074630  6.00
   I    7    O   -2  1.922740  0.419000  5.800000  5.50
  In    1   Br   -1  2.466650  0.454000  8.400000  6.00
  In    1   Cl   -1  2.438630  0.413000  8.500000  6.00
  In    1    I   -1  2.507690  0.514000  7.833330  7.00
  In    1   Te   -2  2.477930  0.508000  7.666670  6.50
  In    3   As   -3  2.543280  0.553000  4.000000  6.50
  In    3   Br   -1  2.289360  0.589000  4.400000  6.50
  In    3   Cl   -1  2.134740  0.548000  6.000000  6.00
  In    3    F   -1  1.757280  0.421000  6.470590  5.50
